full_name,week,season_year,opponent,comp,pass_att,pass_yards,pass_tds,int,sacked,rush_att,rush_yards,rush_tds,win
Colin Kaepernick,11,2012,CHI,16,23,243,2,0,1,4,12,0,1
Colin Kaepernick,12,2012,NO,16,25,231,1,1,0,6,27,1,1
Colin Kaepernick,13,2012,STL,21,32,208,0,0,3,9,84,0,0
Colin Kaepernick,14,2012,MIA,18,23,185,0,0,4,6,53,1,1
Colin Kaepernick,15,2012,NE,14,25,216,4,1,1,7,28,0,1
Colin Kaepernick,16,2012,SEA,19,36,244,1,1,1,7,31,0,0
Colin Kaepernick,17,2012,ARI,16,28,276,2,0,1,3,5,0,1
