full_name,week,season_year,opponent,comp,pass_att,pass_yards,pass_tds,int,sacked,rush_att,rush_yards,rush_tds,win
Alex Smith,1,2012,GB,20,26,211,2,0,4,5,13,0,1
Alex Smith,2,2012,DET,20,31,226,2,0,3,4,7,0,1
Alex Smith,3,2012,MIN,24,35,204,1,1,3,4,26,0,0
Alex Smith,4,2012,NYJ,12,21,143,0,0,2,2,12,0,1
Alex Smith,5,2012,BUF,18,24,303,3,0,0,3,49,0,1
Alex Smith,6,2012,NYG,19,30,200,0,3,4,2,5,0,0
Alex Smith,7,2012,SEA,14,23,140,1,1,2,5,11,0,1
Alex Smith,8,2012,ARI,18,19,232,3,0,4,1,6,0,1
